iter	Passed	Remaining
0	143	143164
1	149	74830
2	154	51207
3	157	39289
4	162	32311
5	167	27801
6	172	24483
7	176	21841
8	180	19829
9	184	18262
10	188	16903
11	190	15705
12	192	14628
13	196	13871
14	199	13068
15	201	12369
16	203	11752
17	204	11153
18	205	10619
19	210	10290
20	212	9895
21	213	9511
22	215	9153
23	216	8808
24	217	8486
25	218	8179
26	219	7903
27	222	7734
28	224	7523
29	226	7316
30	227	7111
31	228	6912
32	229	6723
33	230	6546
34	231	6378
35	232	6217
36	233	6067
37	234	5924
38	236	5823
39	238	5721
40	239	5601
41	240	5484
42	241	5380
43	242	5276
44	244	5178
45	244	5079
46	245	4983
47	246	4894
48	247	4806
49	248	4723
50	250	4666
51	252	4602
52	253	4534
53	254	4466
54	256	4408
55	257	4339
56	258	4273
57	259	4219
58	260	4158
59	261	4101
60	262	4045
61	264	4001
62	266	3965
63	267	3918
64	269	3872
65	270	3822
66	271	3775
67	271	3727
68	272	3680
69	273	3637
70	274	3593
71	275	3551
72	276	3512
73	278	3488
74	280	3457
75	281	3425
76	282	3390
77	283	3353
78	284	3318
79	285	3284
80	286	3250
81	287	3217
82	287	3180
83	288	3151
84	289	3120
85	290	3090
86	291	3060
87	294	3048
88	295	3027
89	296	3002
90	298	2979
91	299	2956
92	300	2931
93	301	2907
94	302	2884
95	303	2859
96	304	2836
97	305	2813
98	307	2795
99	308	2778
100	310	2760
101	311	2741
102	312	2721
103	313	2701
104	314	2681
105	315	2662
106	316	2642
107	317	2623
108	318	2604
109	319	2585
110	320	2567
111	321	2552
112	323	2538
113	324	2522
114	325	2506
115	326	2489
116	327	2470
117	328	2456
118	330	2443
119	330	2427
120	331	2411
121	332	2393
122	334	2382
123	334	2366
124	336	2356
125	337	2342
126	338	2329
127	340	2318
128	341	2307
129	342	2293
130	343	2279
131	344	2266
132	346	2255
133	347	2243
134	348	2230
135	349	2217
136	351	2212
137	352	2204
138	354	2198
139	356	2188
140	357	2175
141	357	2161
142	358	2151
143	359	2139
144	360	2127
